Ethno-Racial Group,Month,Reported COVID-19 infection rate,Overall Rate,Rate rest of pop,Rate ratio (compared to rest of pop),Missing
"Arab, Middle Eastern or West Asian",2020-06-01,258.43,56.70,49.14,5.26,"Analysis for this month excludes those for whom the race question was not asked (17%), and those who selected that they would prefer not to answer (6%)"
Black,2020-06-01,132.17,56.70,49.24,2.68,"Analysis for this month excludes those for whom the race question was not asked (17%), and those who selected that they would prefer not to answer (6%)"
East Asian,2020-06-01,13.54,56.70,63.31,0.21,"Analysis for this month excludes those for whom the race question was not asked (17%), and those who selected that they would prefer not to answer (6%)"
Latin American,2020-06-01,217.72,56.70,51.90,4.19,"Analysis for this month excludes those for whom the race question was not asked (17%), and those who selected that they would prefer not to answer (6%)"
South Asian or Indo-Caribbean,2020-06-01,75.23,56.70,54.00,1.39,"Analysis for this month excludes those for whom the race question was not asked (17%), and those who selected that they would prefer not to answer (6%)"
Southeast Asian,2020-06-01,103.42,56.70,53.03,1.95,"Analysis for this month excludes those for whom the race question was not asked (17%), and those who selected that they would prefer not to answer (6%)"
White,2020-06-01,19.57,56.70,91.06,0.21,"Analysis for this month excludes those for whom the race question was not asked (17%), and those who selected that they would prefer not to answer (6%)"
"Arab, Middle Eastern or West Asian",2020-07-01,33.21,25.18,24.88,1.33,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
Black,2020-07-01,73.38,25.18,20.42,3.59,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
East Asian,2020-07-01,6.21,25.18,28.09,0.22,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
Latin American,2020-07-01,92.01,25.18,23.19,3.97,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
South Asian or Indo-Caribbean,2020-07-01,40.12,25.18,23.01,1.74,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
Southeast Asian,2020-07-01,42.70,25.18,23.81,1.79,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
White,2020-07-01,10.91,25.18,38.39,0.28,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
"Arab, Middle Eastern or West Asian",2020-08-01,59.16,26.76,25.54,2.32,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
Black,2020-08-01,99.23,26.76,19.60,5.06,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
East Asian,2020-08-01,7.62,26.76,29.69,0.26,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
Latin American,2020-08-01,44.06,26.76,26.24,1.68,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
South Asian or Indo-Caribbean,2020-08-01,44.55,26.76,24.17,1.84,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
Southeast Asian,2020-08-01,26.75,26.76,26.76,1.00,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
White,2020-08-01,10.91,26.76,41.42,0.26,"Analysis for this month excludes those for whom the race question was not asked (9%), and those who selected that they would prefer not to answer (8%)"
"Arab, Middle Eastern or West Asian",2020-09-01,193.05,95.97,92.33,2.09,"Analysis for this month excludes those for whom the race question was not asked (44%), and those who selected that they would prefer not to answer (5%)"
Black,2020-09-01,259.75,95.97,79.79,3.26,"Analysis for this month excludes those for whom the race question was not asked (44%), and those who selected that they would prefer not to answer (5%)"
East Asian,2020-09-01,24.54,95.97,106.91,0.23,"Analysis for this month excludes those for whom the race question was not asked (44%), and those who selected that they would prefer not to answer (5%)"
Latin American,2020-09-01,228.08,95.97,92.03,2.48,"Analysis for this month excludes those for whom the race question was not asked (44%), and those who selected that they would prefer not to answer (5%)"
South Asian or Indo-Caribbean,2020-09-01,121.84,95.97,92.20,1.32,"Analysis for this month excludes those for whom the race question was not asked (44%), and those who selected that they would prefer not to answer (5%)"
Southeast Asian,2020-09-01,125.03,95.97,93.69,1.33,"Analysis for this month excludes those for whom the race question was not asked (44%), and those who selected that they would prefer not to answer (5%)"
White,2020-09-01,60.18,95.97,129.09,0.47,"Analysis for this month excludes those for whom the race question was not asked (44%), and those who selected that they would prefer not to answer (5%)"
"Arab, Middle Eastern or West Asian",2020-10-01,471.20,237.35,228.59,2.06,"Analysis for this month excludes those for whom the race question was not asked (16%), and those who selected that they would prefer not to answer (7%)"
Black,2020-10-01,395.66,237.35,221.72,1.78,"Analysis for this month excludes those for whom the race question was not asked (16%), and those who selected that they would prefer not to answer (7%)"
East Asian,2020-10-01,78.13,237.35,261.74,0.30,"Analysis for this month excludes those for whom the race question was not asked (16%), and those who selected that they would prefer not to answer (7%)"
Latin American,2020-10-01,833.28,237.35,219.61,3.79,"Analysis for this month excludes those for whom the race question was not asked (16%), and those who selected that they would prefer not to answer (7%)"
South Asian or Indo-Caribbean,2020-10-01,487.95,237.35,200.89,2.43,"Analysis for this month excludes those for whom the race question was not asked (16%), and those who selected that they would prefer not to answer (7%)"
Southeast Asian,2020-10-01,370.45,237.35,226.90,1.63,"Analysis for this month excludes those for whom the race question was not asked (16%), and those who selected that they would prefer not to answer (7%)"
White,2020-10-01,118.57,237.35,347.29,0.34,"Analysis for this month excludes those for whom the race question was not asked (16%), and those who selected that they would prefer not to answer (7%)"
"Arab, Middle Eastern or West Asian",2020-11-01,963.16,446.71,427.37,2.25,"Analysis for this month excludes those for whom the race question was not asked (8%), and those who selected that they would prefer not to answer (8%)"
Black,2020-11-01,552.85,446.71,436.23,1.27,"Analysis for this month excludes those for whom the race question was not asked (8%), and those who selected that they would prefer not to answer (8%)"
East Asian,2020-11-01,171.50,446.71,488.87,0.35,"Analysis for this month excludes those for whom the race question was not asked (8%), and those who selected that they would prefer not to answer (8%)"
Latin American,2020-11-01,1270.01,446.71,422.20,3.01,"Analysis for this month excludes those for whom the race question was not asked (8%), and those who selected that they would prefer not to answer (8%)"
South Asian or Indo-Caribbean,2020-11-01,1188.01,446.71,338.85,3.51,"Analysis for this month excludes those for whom the race question was not asked (8%), and those who selected that they would prefer not to answer (8%)"
Southeast Asian,2020-11-01,798.52,446.71,419.08,1.91,"Analysis for this month excludes those for whom the race question was not asked (8%), and those who selected that they would prefer not to answer (8%)"
White,2020-11-01,182.03,446.71,691.70,0.26,"Analysis for this month excludes those for whom the race question was not asked (8%), and those who selected that they would prefer not to answer (8%)"
"Arab, Middle Eastern or West Asian",2020-12-01,1165.54,617.55,597.02,1.95,"Analysis for this month excludes those for whom the race question was not asked (12%), and those who selected that they would prefer not to answer (9%)"
Black,2020-12-01,775.07,617.55,602.00,1.29,"Analysis for this month excludes those for whom the race question was not asked (12%), and those who selected that they would prefer not to answer (9%)"
East Asian,2020-12-01,358.24,617.55,657.28,0.55,"Analysis for this month excludes those for whom the race question was not asked (12%), and those who selected that they would prefer not to answer (9%)"
Latin American,2020-12-01,1801.33,617.55,582.30,3.09,"Analysis for this month excludes those for whom the race question was not asked (12%), and those who selected that they would prefer not to answer (9%)"
