Indicator.,CountryCode,Country,Representativeness.,Representativeness name,Area covered,Date,Begin month,Begin year,End month,End year,Population,Gender,Age unit,Age from,Age to,Sample size,Indicator unit,Mean,Geo mean,Median,SD,SE,L95CI,U95CI,Deficiency cut-off,Deficiency prevalence,Insufficiency cut-off,Insufficiency prevalence,Sample collection method,Sample type,Fasting,Method of analysis,General data comments,Indicator comments,Survey methodology,Season,Old Reference no# 1,Reference no# 1,Reference 1,Link to reference 1,Old Reference no# 2,Reference no# 2,Reference 2,Link to reference 2,Old Reference no# 3,Reference no# 3,Reference 3,Link to reference 3,SurveyId,Survey status
25-Hydroxyvitamin D,AFG,Afghanistan,national,,both urban and rural,2013,6,2013,10,2013,Preschool-age children,All,Month,6,59,,,,,,,,,,<20 nmol/L,16.8,20-49.9 nmol/L,64.2,Venipuncture,Blood serum,Not known,Electro-chemiluminescence,Prevalence 50-75 nmol/L = 16.6%; >75 nmol/L = 2.5%,Serum 25-OH-D measured using competitive chemiluminescent immunoassay (CLIA) (personal communication; 10 March 2020).,Survey designed to provide national estimates of micronutrient status. Survey conducted in all 34 provinces.,Not specified,,102,"Ministry of Public Health (Afghanistan), UNICEF. National Nutrition Survey Afghanistan 2013.Ministry of Public Health: Kabul, 2014.",http://reliefweb.int/sites/reliefweb.int/files/resources/Report NNS Afghanistan 2013 (July 26-14).pdf,,,,,,,,,10003,verified
25-Hydroxyvitamin D,AFG,Afghanistan,national,,both urban and rural,2013,6,2013,10,2013,Women of reproductive age,Female,Year,15,49,1190,,,,,,,,,<20 nmol/L,64.7,20-49.9 nmol/L,30.8,Venipuncture,Blood serum,Not known,Electro-chemiluminescence,Prevalence 50-75 nmol/L = 3.1%; >75 nmol/L = 1.4%,Serum 25-OH-D measured using competitive chemiluminescent immunoassay (CLIA) (personal communication; 10 March 2020).,Survey designed to provide national estimates of micronutrient status. Survey conducted in all 34 provinces.,Not specified,,102,"Ministry of Public Health (Afghanistan), UNICEF. National Nutrition Survey Afghanistan 2013.Ministry of Public Health: Kabul, 2014.",http://reliefweb.int/sites/reliefweb.int/files/resources/Report NNS Afghanistan 2013 (July 26-14).pdf,,,,,,,,,10003,verified
25-Hydroxyvitamin D,ARG,Argentina,1st administration level,Chubut,both urban and rural,2005,10,2004,6,2005,Preschool-age children,All,Month,6,23,,nmol/L,66.39,,,,,62.15,70.39,,,,,Venipuncture,Blood serum,Casual,Radioimmunoassay (RIA),Samples collected in October.,"Samples collected between October and December. 25-OH-D assessed by radioimmunoassay (RIA-Diasorin). External quality control serum samples provided by DEKAS, UK.","Survey representative at the national, regional, and provincial levels.",All seasons,5837,46,"Encuesta Nacional de Nutricion y Salud (ENNyS) 2004-2005. Documento de Resultados.  Buenos Aires; Ministerio de Salud, Plan Federal de Salud: 2007 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1a.pdf,,826,"Kogan L, Gilardón EA, Biglieri A, Mangialavori G, Calvo E, Durán P. Anemia: La desnutrición oculta. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) 2008.  Buenos Aires: Ministerio de Salud de la Nación; 2008 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1d.pdf,,827,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA. Estudio descriptivo de la situación nutricional en niños de 6-72 meses de la República Argentina. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) [Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS)].  Arch Argent Pediatr. 2009;107:397-404 (in Spanish).",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000500005,10036,verified
25-Hydroxyvitamin D,ARG,Argentina,1st administration level,La Pampa,both urban and rural,2005,10,2004,6,2005,Preschool-age children,All,Month,6,23,,nmol/L,79.87,,,,,74.63,85.36,,,,,Venipuncture,Blood serum,Casual,Radioimmunoassay (RIA),Data collected in December,"Samples collected between October and December. 25-OH-D assessed by radioimmunoassay (RIA-Diasorin). External quality control serum samples provided by DEKAS, UK.","Survey representative at the national, regional, and provincial levels.",All seasons,5837,46,"Encuesta Nacional de Nutricion y Salud (ENNyS) 2004-2005. Documento de Resultados.  Buenos Aires; Ministerio de Salud, Plan Federal de Salud: 2007 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1a.pdf,,826,"Kogan L, Gilardón EA, Biglieri A, Mangialavori G, Calvo E, Durán P. Anemia: La desnutrición oculta. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) 2008.  Buenos Aires: Ministerio de Salud de la Nación; 2008 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1d.pdf,,827,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA. Estudio descriptivo de la situación nutricional en niños de 6-72 meses de la República Argentina. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) [Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS)].  Arch Argent Pediatr. 2009;107:397-404 (in Spanish).",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000500005,10036,verified
25-Hydroxyvitamin D,ARG,Argentina,1st administration level,Neuquen,both urban and rural,2005,10,2004,6,2005,Preschool-age children,All,Month,6,23,,nmol/L,52.92,,,,,48.17,57.91,,,,,Venipuncture,Blood serum,Casual,Radioimmunoassay (RIA),Data collected in October.,"Samples collected between October and December. 25-OH-D assessed by radioimmunoassay (RIA-Diasorin). External quality control serum samples provided by DEKAS, UK.","Survey representative at the national, regional, and provincial levels.",All seasons,5837,46,"Encuesta Nacional de Nutricion y Salud (ENNyS) 2004-2005. Documento de Resultados.  Buenos Aires; Ministerio de Salud, Plan Federal de Salud: 2007 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1a.pdf,,826,"Kogan L, Gilardón EA, Biglieri A, Mangialavori G, Calvo E, Durán P. Anemia: La desnutrición oculta. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) 2008.  Buenos Aires: Ministerio de Salud de la Nación; 2008 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1d.pdf,,827,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA. Estudio descriptivo de la situación nutricional en niños de 6-72 meses de la República Argentina. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) [Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS)].  Arch Argent Pediatr. 2009;107:397-404 (in Spanish).",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000500005,10036,verified
25-Hydroxyvitamin D,ARG,Argentina,1st administration level,Rio Negro,both urban and rural,2005,10,2004,6,2005,Preschool-age children,All,Month,6,23,,nmol/L,78.12,,,,,73.88,82.12,,,,,Venipuncture,Blood serum,Casual,Radioimmunoassay (RIA),Data collected in November.,"Samples collected between October and December. 25-OH-D assessed by radioimmunoassay (RIA-Diasorin). External quality control serum samples provided by DEKAS, UK.","Survey representative at the national, regional, and provincial levels.",All seasons,5837,46,"Encuesta Nacional de Nutricion y Salud (ENNyS) 2004-2005. Documento de Resultados.  Buenos Aires; Ministerio de Salud, Plan Federal de Salud: 2007 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1a.pdf,,826,"Kogan L, Gilardón EA, Biglieri A, Mangialavori G, Calvo E, Durán P. Anemia: La desnutrición oculta. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) 2008.  Buenos Aires: Ministerio de Salud de la Nación; 2008 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1d.pdf,,827,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA. Estudio descriptivo de la situación nutricional en niños de 6-72 meses de la República Argentina. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) [Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS)].  Arch Argent Pediatr. 2009;107:397-404 (in Spanish).",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000500005,10036,verified
25-Hydroxyvitamin D,ARG,Argentina,1st administration level,Santa Cruz,both urban and rural,2005,10,2004,6,2005,Preschool-age children,All,Month,6,23,,nmol/L,67.39,,,,,60.4,74.38,,,,,Venipuncture,Blood serum,Casual,Radioimmunoassay (RIA),Data collected in November.,"Samples collected between October and December. 25-OH-D assessed by radioimmunoassay (RIA-Diasorin). External quality control serum samples provided by DEKAS, UK.","Survey representative at the national, regional, and provincial levels.",All seasons,5837,46,"Encuesta Nacional de Nutricion y Salud (ENNyS) 2004-2005. Documento de Resultados.  Buenos Aires; Ministerio de Salud, Plan Federal de Salud: 2007 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1a.pdf,,826,"Kogan L, Gilardón EA, Biglieri A, Mangialavori G, Calvo E, Durán P. Anemia: La desnutrición oculta. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) 2008.  Buenos Aires: Ministerio de Salud de la Nación; 2008 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1d.pdf,,827,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA. Estudio descriptivo de la situación nutricional en niños de 6-72 meses de la República Argentina. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) [Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS)].  Arch Argent Pediatr. 2009;107:397-404 (in Spanish).",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000500005,10036,verified
25-Hydroxyvitamin D,ARG,Argentina,1st administration level,Tierra Del Fuego,both urban and rural,2005,10,2004,6,2005,Preschool-age children,All,Month,6,23,,nmol/L,80.12,,,,,74.38,85.61,,,,,Venipuncture,Blood serum,Casual,Radioimmunoassay (RIA),Data collected in December,"Samples collected between October and December. 25-OH-D assessed by radioimmunoassay (RIA-Diasorin). External quality control serum samples provided by DEKAS, UK.","Survey representative at the national, regional, and provincial levels.",All seasons,5837,46,"Encuesta Nacional de Nutricion y Salud (ENNyS) 2004-2005. Documento de Resultados.  Buenos Aires; Ministerio de Salud, Plan Federal de Salud: 2007 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1a.pdf,,826,"Kogan L, Gilardón EA, Biglieri A, Mangialavori G, Calvo E, Durán P. Anemia: La desnutrición oculta. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) 2008.  Buenos Aires: Ministerio de Salud de la Nación; 2008 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1d.pdf,,827,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA. Estudio descriptivo de la situación nutricional en niños de 6-72 meses de la República Argentina. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) [Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS)].  Arch Argent Pediatr. 2009;107:397-404 (in Spanish).",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000500005,10036,verified
25-Hydroxyvitamin D,ARG,Argentina,regional (within country),Patagonia,both urban and rural,2005,10,2004,6,2005,Preschool-age children,All,Month,6,23,,nmol/L,67.39,,,,,65.15,69.64,<27.5 nmol/L,2.8,27.5-75.0 nmol/L,61,Venipuncture,Blood serum,Casual,Radioimmunoassay (RIA),"No actual sample size reported. Planned sample size was 1200 (Ref 46, Tables 3 and 4). Prevalence 27.5-49.9 nmol/L = 20.8% (95% CI: 16.7-25.6); 50.0-74.9 nmol/L = 40.2% (95% CI: 34.9-45.7) (Ref 827, page 403).","Samples collected between October and December. 25-OH-D assessed by radioimmunoassay (RIA-Diasorin). External quality control serum samples provided by DEKAS, UK.","Survey representative at the national, regional, and provincial levels.",All seasons,5837,46,"Encuesta Nacional de Nutricion y Salud (ENNyS) 2004-2005. Documento de Resultados.  Buenos Aires; Ministerio de Salud, Plan Federal de Salud: 2007 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1a.pdf,,826,"Kogan L, Gilardón EA, Biglieri A, Mangialavori G, Calvo E, Durán P. Anemia: La desnutrición oculta. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) 2008.  Buenos Aires: Ministerio de Salud de la Nación; 2008 (in Spanish).",http://datos.dinami.gov.ar/produccion/nutricion/material/A1d.pdf,,827,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA. Estudio descriptivo de la situación nutricional en niños de 6-72 meses de la República Argentina. Resultados de la Encuesta Nacional de Nutrición y Salud (ENNyS) [Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS)].  Arch Argent Pediatr. 2009;107:397-404 (in Spanish).",http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0325-00752009000500005,10036,verified
25-Hydroxyvitamin D,AUS,Australia,1st administration level,Australian Capital Territory,both urban and rural,2012,3,2011,9,2012,Adults,All,Year,18,,906,nmol/L,61.7,,60,,,,,<30 nmol/L,7.5,<50 mnol/L,28,Venipuncture,Blood serum,Casual,Liquid chromatography–mass spectrometry (LC-MS),"All seasons. Upper bound of age range not provided (over 75 years). Sample size for prevalence as noted above. Sample size for mean, median and IR = 883. Prevalence 30-49 nmol/L = 20.4%","25-hydroxyvitamin D assessed by liquid chromatography, tandem mass spectrometry (LCMS; personal communication).","The Australian Health Survey is made up of the National Health Survey, the National Nutrition and Physical Activity Survey, and the National Health Measures Survey (NHMS). NHMS incorporated biomedical collection in children 5 years and older across Australia.",All seasons,,61,"Australian Health Survey: biomedical results for nutrients, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/PrimaryMainFeatures/4364.0.55.006?OpenDocument,,107,"Australian Health Survey: user's guide, 2011-13. Canberra: Australian Bureau of Statistics; 2013.",http://www.abs.gov.au/ausstats/abs@.nsf/mf/4363.0.55.001,,176,"Australian Health Survey: biomedical results for chronic diseases, 2011-12. Canberra: Australian Bureau of Statistics; 2013.",http://www.ausstats.abs.gov.au/ausstats/subscriber.nsf/0/01ECE269AAE6E736CA257C0700114DBA/$File/AHS%20-%20Biomedical%20Results%20for%20Chronic%20Diseases.pdf,10160,verified
